Date,Open,High,Low,Close,Adj Close,Volume
2018-02-07,1449,1460.98999,1415.150024,1416.780029,1416.780029,7162700
2018-02-08,1429.680054,1433.75,1349.939941,1350.5,1350.5,8578600
2018-02-09,1373.48999,1383.5,1265.930054,1339.599976,1339.599976,14141500
2018-02-12,1364.670044,1393.810059,1344.01001,1386.22998,1386.22998,6738900
2018-02-13,1385.930054,1419.719971,1383.530029,1414.51001,1414.51001,5917900
2018-02-14,1406.25,1452.060059,1403.359985,1451.050049,1451.050049,5959200
2018-02-15,1466.890015,1468.939941,1436.839966,1461.76001,1461.76001,5652700
2018-02-16,1457.369995,1465.800049,1446.560059,1448.689941,1448.689941,4472600
2018-02-20,1446.48999,1488.77002,1446.48999,1468.349976,1468.349976,6499200
2018-02-21,1485,1503.48999,1478.920044,1482.920044,1482.920044,6304400
2018-02-22,1495.359985,1502.540039,1475.76001,1485.339966,1485.339966,4858100
2018-02-23,1495.339966,1500,1486.5,1500,1500,4418100
2018-02-26,1509.199951,1522.839966,1507,1521.949951,1521.949951,4955000
2018-02-27,1524.5,1526.780029,1507.209961,1511.97998,1511.97998,4808800
2018-02-28,1519.51001,1528.699951,1512,1512.449951,1512.449951,4515000
